 Time  bebop1_x  bebop1_y  bebop1_vx  bebop1_vy  bebop1_yaw  bebop2_x  bebop2_y  bebop2_vx  bebop2_vy  bebop2_yaw  bebop3_x  bebop3_y  bebop3_vx  bebop3_vy  bebop3_yaw  bebop4_x  bebop4_y  bebop4_vx  bebop4_vy  bebop4_yaw  target_x  target_y  target_vx  target_vy  target_yaw 
1.29997  1.25201  -1.50608  -0.00747555  -0.0742347  2.25546  -0.100916  -0.995727  0.0200944  0.0316072  0.545106  0.462951  0.160361  0.0725839  0.00568981  -1.03188  1.44852  -0.382398  0.0150447  -0.0524074  -2.51051  0.746137  -0.62778  -0.000659136  0.0167445  1.61014  
1.34998  1.25231  -1.51363  -0.00592907  -0.0858695  2.25937  -0.0999668  -0.993444  0.0209809  0.0345692  0.551268  0.470131  0.162126  0.0839681  0.00898015  -1.02906  1.45111  -0.387871  0.0203087  -0.0607702  -2.51099  0.745469  -0.62488  -0.000737922  0.0184742  1.61072  
1.40003  1.25282  -1.52035  -0.00427234  -0.0874576  2.26151  -0.0994081  -0.991868  0.0191968  0.0324871  0.555428  0.476271  0.163939  0.084376  0.0114406  -1.0234  1.45328  -0.392358  0.02093  -0.0605476  -2.51135  0.74479  -0.622063  -0.000816148  0.0200618  1.61146  
1.44997  1.25342  -1.52606  -0.00233451  -0.0924179  2.26668  -0.0992  -0.990627  0.0174798  0.0324515  0.561306  0.481479  0.165452  0.0885854  0.0136396  -1.02201  1.45478  -0.395634  0.0214475  -0.0612206  -2.51153  0.744409  -0.619563  -0.00089051  0.0214239  1.61234  
1.50003  1.2543  -1.53282  -0.000517102  -0.0948207  2.27356  -0.099232  -0.989279  0.0154235  0.0315715  0.569391  0.487777  0.167643  0.0908977  0.0166421  -1.01881  1.45663  -0.399347  0.0229025  -0.0617576  -2.51255  0.7437  -0.616831  -0.000970815  0.0227769  1.61339  
1.55003  1.25523  -1.53975  0.00114132  -0.0999907  2.27617  -0.0992678  -0.988182  0.0144723  0.0306235  0.573537  0.493764  0.169882  0.0936299  0.0191437  -1.01835  1.45894  -0.402692  0.0263592  -0.0622756  -2.51338  0.742944  -0.614043  -0.00104849  0.0241351  1.61421  
1.60001  1.25667  -1.54694  0.00459286  -0.103843  2.28073  -0.0996784  -0.987461  0.0116614  0.0283298  0.578105  0.499786  0.172328  0.0957399  0.0220165  -1.01626  1.46086  -0.406005  0.0260742  -0.0625106  -2.51779  0.742278  -0.611294  -0.00112818  0.0254105  1.61517  
1.65003  1.25853  -1.55423  0.00792105  -0.107099  2.28154  -0.100072  -0.986831  0.0102504  0.0270925  0.579433  0.504742  0.174801  0.093397  0.024085  -1.015  1.46335  -0.409129  0.0292181  -0.0618993  -2.51865  0.741614  -0.608617  -0.00121519  0.0265636  1.61651  
1.69997  1.26065  -1.56153  0.011193  -0.110556  2.28487  -0.100626  -0.986336  0.0081239  0.025522  0.582731  0.509227  0.176987  0.0928144  0.0251877  -1.01434  1.46622  -0.410895  0.0325343  -0.0568436  -2.52231  0.740928  -0.606031  -0.00130381  0.027621  1.61796  
1.75001  1.2633  -1.56879  0.0154553  -0.113115  2.28641  -0.100994  -0.985768  0.0074432  0.0245645  0.583499  0.513309  0.179439  0.0913168  0.0278181  -1.01269  1.46904  -0.412112  0.0339729  -0.0535203  -2.52622  0.740204  -0.603463  -0.00139155  0.0286023  1.61941  
1.8  1.26607  -1.57628  0.0171549  -0.112086  2.28761  -0.101344  -0.985268  0.00631856  0.0227816  0.58474  0.51647  0.182268  0.0852718  0.0293231  -1.01559  1.47213  -0.413087  0.0347326  -0.050227  -2.53049  0.739217  -0.600569  -0.00149714  0.0296355  1.62127  
1.85  1.26971  -1.5837  0.0283843  -0.125397  2.28936  -0.101983  -0.985149  0.00325635  0.0205779  0.585512  0.518703  0.185042  0.0836331  0.0350404  -1.01507  1.4757  -0.413031  0.043807  -0.0442237  -2.53261  0.739122  -0.598033  -0.00160296  0.030723  1.62292  
1.89999  1.27371  -1.59118  0.0305163  -0.122243  2.29216  -0.102868  -0.98537  0.00147888  0.0178048  0.586156  0.520511  0.187651  0.0778663  0.0339487  -1.01585  1.47959  -0.41257  0.0446373  -0.0391101  -2.5399  0.738465  -0.595229  -0.00170382  0.0317812  1.62436  
1.95002  1.2774  -1.59745  0.036448  -0.125437  2.29294  -0.103789  -0.98559  -0.000837108  0.0160619  0.589129  0.521168  0.189948  0.0708495  0.036527  -1.01594  1.48325  -0.411462  0.0494083  -0.0319651  -2.54413  0.738218  -0.592734  -0.00179988  0.0327435  1.62571  
2.00001  1.28274  -1.60589  0.0379388  -0.121455  2.28952  -0.104821  -0.986174  -0.000942936  0.0137543  0.591243  0.520514  0.193192  0.0616307  0.0363583  -1.017  1.48886  -0.409273  0.0507865  -0.0267673  -2.54778  0.736712  -0.589345  -0.00192571  0.0337576  1.62778  
2.04997  1.28762  -1.6131  0.0504987  -0.13404  2.29068  -0.106071  -0.987028  -0.00551072  0.00947517  0.59196  0.518973  0.195896  0.0512838  0.0415604  -1.01906  1.49442  -0.407045  0.0648536  -0.0175399  -2.55363  0.736604  -0.586771  -0.00203927  0.0347308  1.62945  
2.09999  1.29303  -1.62008  0.0530127  -0.128956  2.29221  -0.107341  -0.988597  -0.00630935  0.00505633  0.595461  0.517041  0.198906  0.0444889  0.0418892  -1.01891  1.50053  -0.403881  0.0667301  -0.0102366  -2.55701  0.735999  -0.583933  -0.00216199  0.0356729  1.63133  
2.15003  1.29826  -1.62698  0.0563425  -0.129361  2.28876  -0.10937  -0.990586  -0.0107703  0.000980296  0.59704  0.514052  0.201885  0.0337861  0.0430905  -1.02133  1.50709  -0.399915  0.0723218  -0.00159305  -2.56223  0.735378  -0.581059  -0.00228887  0.0365771  1.63329  
2.19998  1.30375  -1.6335  0.0616492  -0.129022  2.29169  -0.111385  -0.992824  -0.0128243  -0.00316604  0.601955  0.510084  0.205129  0.0222733  0.045632  -1.02489  1.51413  -0.395577  0.0793247  0.00626702  -2.56457  0.734755  -0.578256  -0.00241265  0.0374116  1.6352  
2.24997  1.30949  -1.6398  0.0672482  -0.129461  2.28766  -0.113634  -0.995219  -0.0160556  -0.00708354  0.611008  0.505224  0.208669  0.0109478  0.0485774  -1.02372  1.52156  -0.390614  0.0862821  0.0151573  -2.57209  0.734134  -0.575404  -0.00254214  0.038239  1.63718  
2.29997  1.3151  -1.64583  0.0701622  -0.127558  2.29069  -0.115761  -0.997843  -0.0177377  -0.0113839  0.612763  0.499664  0.212149  -3.1776e-05  0.0498138  -1.02687  1.52981  -0.385022  0.094072  0.0243823  -2.57585  0.733567  -0.572564  -0.00266594  0.039031  1.63899  
2.35001  1.32095  -1.65138  0.0706216  -0.121607  2.29287  -0.117941  -1.00088  -0.0187609  -0.0142925  0.616957  0.493495  0.215913  -0.00721163  0.0499961  -1.03094  1.53852  -0.379038  0.0955128  0.0288596  -2.58248  0.732396  -0.569398  -0.00278557  0.0397927  1.64068  
2.39997  1.32573  -1.6561  0.0776975  -0.125021  2.2904  -0.120946  -1.00402  -0.027996  -0.0227804  0.594203  0.487879  0.218983  -0.0227113  0.0540614  -1.03345  1.54617  -0.373483  0.108991  0.0424763  -2.58541  0.732441  -0.566939  -0.0028908  0.0404813  1.64209  
2.45001  1.33283  -1.66186  0.0854414  -0.123665  2.29163  -0.122656  -1.00823  -0.0229477  -0.0279292  0.618328  0.479005  0.22356  -0.0392626  0.0587806  -1.03772  1.55667  -0.364407  0.118945  0.0584555  -2.592  0.731806  -0.564023  -0.00301408  0.0412368  1.64376  
2.50003  1.33899  -1.66657  0.0856848  -0.118637  2.29274  -0.124569  -1.01169  -0.0251994  -0.0292205  0.626676  0.470838  0.227326  -0.0467773  0.0577153  -1.03627  1.56622  -0.356516  0.121997  0.0626629  -2.59607  0.731171  -0.56108  -0.0031352  0.0419997  1.64531  
2.54998  1.34582  -1.67072  0.0913397  -0.114459  2.28937  -0.126376  -1.0156  -0.0262572  -0.0345852  0.628543  0.461696  0.231925  -0.0600052  0.0626291  -1.04219  1.57587  -0.348547  0.127953  0.0705737  -2.60121  0.730613  -0.55813  -0.00326911  0.0427303  1.64715  
2.60001  1.35289  -1.67428  0.0957646  -0.1103  2.29221  -0.128412  -1.02  -0.0284605  -0.0401339  0.630216  0.452292  0.235521  -0.0705735  0.060717  -1.0425  1.58539  -0.339565  0.132977  0.0821254  -2.60434  0.729939  -0.555199  -0.00339544  0.043383  1.6489  
2.65001  1.36051  -1.67761  0.102749  -0.107034  2.29192  -0.129991  -1.02446  -0.0270122  -0.0445648  0.635076  0.442151  0.239371  -0.084721  0.0636874  -1.04441  1.59512  -0.330216  0.139959  0.092789  -2.60674  0.729371  -0.552305  -0.00351678  0.0440341  1.65049  
2.69998  1.36831  -1.68047  0.106147  -0.10145  2.29272  -0.131472  -1.0288  -0.0272782  -0.0469707  0.639129  0.431608  0.243349  -0.0943405  0.0647682  -1.0427  1.6048  -0.320263  0.143159  0.101302  -2.60937  0.728765  -0.54937  -0.00364  0.0446567  1.65213  
2.75005  1.37625  -1.68239  0.111048  -0.0943304  2.29331  -0.133454  -1.03338  -0.0297659  -0.0516653  0.638252  0.420515  0.247099  -0.106514  0.0654343  -1.04523  1.61428  -0.310114  0.146825  0.110057  -2.61159  0.728194  -0.546466  -0.00375636  0.0452435  1.65363  
2.80002  1.38513  -1.68397  0.118118  -0.0888506  2.29548  -0.134549  -1.03774  -0.0268127  -0.0538276  0.642337  0.409213  0.250679  -0.115687  0.0650027  -1.04541  1.62339  -0.299679  0.148588  0.118487  -2.61428  0.727548  -0.543545  -0.00386461  0.0457901  1.655  
2.84997  1.39395  -1.68525  0.123353  -0.0835285  2.29174  -0.135495  -1.04245  -0.0260011  -0.0584718  0.643844  0.397544  0.254103  -0.127492  0.0656385  -1.04397  1.63234  -0.288596  0.151761  0.129183  -2.61766  0.72697  -0.540586  -0.00397988  0.0463896  1.65638  
2.89999  1.40313  -1.68596  0.128052  -0.0764557  2.2932  -0.136048  -1.04766  -0.0241675  -0.0628713  0.648214  0.385714  0.257599  -0.135629  0.0660073  -1.04327  1.64112  -0.276812  0.152936  0.138608  -2.62103  0.726345  -0.537532  -0.0041131  0.0470088  1.65807  
2.94999  1.41305  -1.68637  0.136433  -0.0702815  2.29018  -0.136401  -1.05317  -0.0227825  -0.0677316  0.646444  0.373387  0.260955  -0.14725  0.0660792  -1.04263  1.64977  -0.264813  0.155104  0.147948  -2.62286  0.725775  -0.534452  -0.00425132  0.0476612  1.65976  
2.99997  1.42135  -1.68641  0.141657  -0.0640295  2.2898  -0.136305  -1.05849  -0.0194813  -0.0745028  0.650934  0.362829  0.263792  -0.156621  0.0663571  -1.0441  1.65656  -0.254213  0.154751  0.158466  -2.62557  0.725788  -0.531745  -0.00437707  0.0482501  1.66127  
3.04999  1.43374  -1.68596  0.147803  -0.0573185  2.29152  -0.136047  -1.06607  -0.0176155  -0.0783431  0.655986  0.347766  0.267355  -0.164417  0.0648832  -1.04099  1.6653  -0.238475  0.152513  0.168138  -2.62608  0.724508  -0.528348  -0.00452881  0.0487783  1.66338  
3.09997  1.44484  -1.68525  0.154713  -0.0508368  2.29427  -0.135231  -1.07365  -0.0135758  -0.0867501  0.661256  0.334357  0.270279  -0.173846  0.0642382  -1.0405  1.67226  -0.224911  0.150735  0.17652  -2.62817  0.723926  -0.525468  -0.00465216  0.0491606  1.66515  
